Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,target
13.64,1,0.071,9,157.1,2009,1,1,3,3882.69
10.03,0,0.016,5,126.66,1987,0,1,2,2444.17
12.26,0,0.14,13,138.27,2009,1,1,3,3185.13
10.28,0,0.143,3,147.44,2009,1,1,3,2926.08
16.38,0,0.082,0,205.16,1999,1,0,0,5485.4
13.37,0,0.113,0,137.21,2009,1,1,3,3414.5
11.8,3,0.029,1,144.64,2009,1,1,3,3212.19
9.61,0,0.026,13,161.79,2009,1,1,3,3920.35
11.98,0,0.086,6,125.08,2009,1,1,3,2851.97
11.5,0,0.039,4,159.66,2009,1,1,3,3451.32
12.66,2,0.153,3,151.92,2009,1,1,3,3554.37
9.18,2,0.171,4,115.82,1998,2,2,1,2030.87
13.61,1,0.03,9,146.14,2009,1,1,3,3652.07
13.18,1,0.059,8,178.63,1999,1,0,0,4219.6
13.18,0,0.056,6,164.71,2009,1,1,3,3934.13
10.56,2,0.012,0,131.37,2009,1,1,3,2660.86
15.45,1,0.036,9,166.22,1999,1,0,0,4476.99
15.4,0,0.128,6,177.14,1987,0,1,2,4690.32
13.89,0,0.047,10,153.26,2009,1,1,3,3859.63
13.31,0,0.1,13,160.34,2009,1,1,3,3874.03
10.43,2,0.077,13,119.8,1999,1,0,0,5202.19
12.73,0,0.056,6,144.22,2009,1,1,3,3412.48
10.95,0,0.027,5,120.35,2009,1,1,3,2521.93
13.64,2,0.016,4,155.99,2009,1,1,3,3859.26
13.7,1,0.016,8,136.46,2009,1,1,3,3473.05
12.74,2,0.025,13,121.39,2009,1,1,3,2947.95
16.86,0,0.061,6,217.5,1999,1,0,0,5845.41
11.69,0,0.076,5,141.63,2009,1,1,3,3125.59
11.76,0,0.124,5,185.36,1987,0,1,2,4034.76
12.78,0,0.058,13,181.08,1987,0,1,2,4177.68
18.01,1,0.012,8,229.54,1999,1,0,0,6352.98
9.99,0,0.04,7,97.16,1998,2,2,1,1832.13
10.09,1,0.02,9,116.0,1998,2,2,1,2239.69
11.0,2,0.078,14,167.49,2009,1,1,3,3498.89
9.5,0,0.05,6,80.23,1998,2,2,1,1375.0
13.61,2,0.056,6,135.29,2009,1,1,3,3430.23
12.14,0,0.09,0,95.05,1998,2,2,1,2273.91
11.73,2,0.048,14,122.21,2009,1,1,3,2737.89
15.2,0,0.013,0,164.09,1999,1,0,0,4378.47
14.23,2,0.057,14,156.52,1987,0,1,2,4004.4
12.95,2,0.114,0,134.98,2009,1,1,3,3272.89
13.13,2,0.095,13,116.75,2009,1,1,3,2942.07
12.83,0,0.011,4,150.54,2009,1,1,3,3566.16
10.84,0,0.049,10,124.93,1998,2,2,1,1215.18
10.92,0,0.052,6,100.26,1998,2,2,1,2104.26
13.68,0,0.022,3,169.62,1987,0,1,2,4148.76
13.02,1,0.02,8,136.03,2009,1,1,3,3311.89
11.73,0,0.128,14,137.31,2009,1,1,3,3044.98
13.31,0,0.066,6,162.29,2009,1,1,3,3914.8
11.68,2,0.142,6,142.45,2009,1,1,3,3139.58
11.73,0,0.144,3,164.52,2009,1,1,3,3602.16
12.28,1,0.012,9,206.85,1987,0,1,2,4593.12
10.86,0,0.058,13,161.79,2009,1,1,3,3349.31
11.77,0,0.025,4,152.22,1999,1,0,0,5751.8
17.11,2,0.065,13,180.36,1999,1,0,0,5141.68
11.49,3,0.11,13,135.98,2009,1,1,3,3990.5
13.31,2,0.074,13,134.89,2009,1,1,3,3354.07
10.89,2,0.142,5,112.77,1987,0,1,2,2354.38
15.26,0,0.168,0,173.03,1987,0,1,2,4574.15
8.27,1,0.075,8,156.11,2009,1,1,3,2649.21
14.88,2,0.099,3,146.81,2009,1,1,3,3951.97
12.44,0,0.093,4,137.86,1998,2,2,1,552.0
12.44,0,0.061,3,137.09,2009,1,1,3,3202.79
12.32,2,0.032,14,181.1,1987,0,1,2,4075.27
18.12,0,0.031,4,202.1,1999,1,0,0,5815.38
13.21,0,0.059,14,151.87,2009,1,1,3,3677.56
7.72,0,0.07,6,123.45,1998,2,2,1,1856.55
11.8,1,0.046,9,164.82,2009,1,1,3,3623.93
14.19,0,0.08,6,143.34,2009,1,1,3,3724.87
13.09,0,0.112,14,123.09,2009,1,1,3,3062.32
12.01,2,0.019,3,134.17,2009,1,1,3,3043.86
15.55,0,0.054,5,175.65,1987,0,1,2,4693.61
14.84,0,0.064,4,135.55,2009,1,1,3,3712.61
12.04,1,0.064,8,99.19,1987,0,1,2,2336.73
17.15,0,0.094,0,182.91,1999,1,0,0,5203.29
9.77,0,0.03,4,132.65,2009,1,1,3,4328.48
9.88,0,0.032,13,142.22,2009,1,1,3,2727.08
11.85,0,0.137,1,172.17,2009,1,1,3,3787.16
15.83,0,0.065,5,180.77,1987,0,1,2,4861.63
10.71,2,0.066,3,118.97,1987,0,1,2,2440.96
11.45,0,0.034,4,133.9,2009,1,1,3,2911.86
10.09,0,0.038,5,129.34,2009,1,1,3,2511.29
10.15,1,0.016,9,104.0,1998,2,2,1,2007.09
14.76,1,0.161,9,188.48,1987,0,1,2,4776.98
13.89,0,0.016,1,143.01,2009,1,1,3,3649.8
14.53,0,0.092,1,218.91,1999,1,0,0,5348.62
12.68,0,0.017,13,102.94,2009,1,1,3,2556.84
13.48,2,0.129,5,142.83,2009,1,1,3,3554.49
12.41,1,0.042,8,166.09,2009,1,1,3,3788.44
9.82,0,0.045,0,128.34,1987,0,1,2,2431.05
10.3,0,0.116,14,130.39,2009,1,1,3,2581.85
13.14,2,0.034,5,97.35,2009,1,1,3,2546.15
11.92,2,0.031,4,138.42,1998,2,2,1,800.44
10.94,0,0.138,4,121.01,2009,1,1,3,2532.68
11.65,0,0.058,6,135.76,2009,1,1,3,2996.96
11.48,0,0.122,4,153.27,2009,1,1,3,3316.49
11.72,0,0.022,10,133.1,2009,1,1,3,2956.82
15.11,1,0.014,8,176.72,1987,0,1,2,4615.65
13.67,0,0.028,5,141.51,2009,1,1,3,3570.19
10.8,1,0.07,8,135.13,2009,1,1,3,2790.07
15.97,0,0.011,10,169.76,1987,0,1,2,4668.59
13.57,3,0.044,4,121.38,2009,1,1,3,3135.0
16.24,0,0.032,6,196.44,1999,1,0,0,5273.89
14.3,0,0.076,4,159.21,1987,0,1,2,4074.0
14.4,0,0.021,4,174.68,1999,1,0,0,4414.95
12.26,1,0.159,9,124.22,2009,1,1,3,2896.91
12.71,0,0.18,6,183.54,1999,1,0,0,4212.43
16.09,2,0.138,6,161.68,1987,0,1,2,4530.6
7.11,0,0.065,5,96.54,1998,2,2,1,1167.43
13.08,0,0.128,10,146.35,2009,1,1,3,4334.63
9.2,0,0.081,13,108.37,1998,2,2,1,1881.0
16.15,2,0.185,3,168.51,1987,0,1,2,4684.13
13.44,0,0.011,7,153.62,2009,1,1,3,3765.08
11.99,2,0.081,4,122.18,2009,1,1,3,2794.79
12.58,2,0.174,5,110.83,2009,1,1,3,2696.92
10.85,2,0.111,14,102.41,1998,2,2,1,2132.57
13.73,0,0.027,6,157.0,2009,1,1,3,2842.69
14.94,0,0.098,3,132.02,2009,1,1,3,3662.7
